CLASS,CX,CY,W,H,IMAGE
1,86,117,79,76,236
1,110,111,178,223,238
1,108,121,172,134,241
1,56,135,61,100,242
1,115,128,91,148,243
1,102,103,162,158,244
1,109,110,197,197,245
1,167,113,112,140,246
1,108,119,194,182,248
1,113,124,190,111,249
1,135,111,169,111,250
1,109,107,148,147,253
1,92,115,133,134,255
1,131,113,151,142,257
1,108,115,177,127,258
1,111,110,205,159,260
1,115,108,213,207,261
1,142,114,139,78,262
1,107,119,205,198,263
1,110,125,215,117,264
1,113,120,205,139,265
1,110,113,206,151,266
1,120,119,184,194,267
1,111,111,223,199,268
1,108,112,188,200,269
1,150,133,99,73,271
1,145,123,145,128,272
1,46,121,10,10,273
1,79,109,154,119,274
1,111,112,223,209,276
1,100,124,173,172,278
1,108,125,205,167,280
1,110,120,175,164,284
1,107,127,182,118,285
1,96,121,118,92,287
1,111,122,199,164,288
1,111,121,181,204,293
1,88,101,121,133,294
1,109,98,183,130,295
1,113,87,153,106,300
1,109,88,191,154,301
1,119,125,197,170,302
1,115,131,158,71,304
1,108,135,170,105,309
1,114,113,187,219,310
1,110,111,202,168,312
1,122,119,162,128,313
1,101,145,163,116,314
1,107,122,211,171,315
1,109,114,173,186,317
1,112,111,204,102,318
1,91,115,90,90,319
1,121,85,149,88,320
1,120,110,194,197,322
1,120,114,180,178,323
1,110,103,181,192,325
1,92,114,173,135,326
1,116,112,140,120,327
1,110,120,186,124,328
1,111,149,156,76,329
1,115,114,211,162,330
1,89,124,169,180,331
1,104,101,173,155,333
1,108,91,172,173,334
1,113,124,163,127,335
1,123,123,187,189,336
1,32,28,65,55,337
1,115,112,168,173,338
1,110,126,192,133,339
1,101,112,173,111,340
1,114,115,208,187,341
1,115,122,190,92,343
1,98,110,160,195,344
1,112,111,169,128,345
1,112,121,211,168,346
1,102,114,158,124,347
1,113,134,174,85,348
1,121,114,157,159,349
1,103,122,182,175,352
1,175,136,96,80,355
1,111,125,199,156,356
1,110,109,206,176,357
1,109,112,200,199,358
1,109,112,166,183,359
1,111,106,113,103,362
1,113,113,175,212,363
1,115,120,206,155,364
1,108,114,188,113,365
1,114,126,168,122,369
1,107,113,209,190,370
1,110,119,194,208,371
1,103,114,178,123,372
1,113,131,216,153,373
1,111,119,182,115,375
1,113,109,211,136,376
1,109,123,178,105,378
1,113,109,213,216,379
1,111,114,220,198,384
1,115,119,196,107,385
1,108,102,163,153,386
1,111,127,176,119,388
1,138,104,90,79,389
1,110,119,179,134,391
1,110,113,110,119,392
1,153,145,85,119,393
1,103,121,160,130,394
1,56,119,111,203,395
1,128,120,162,132,396
1,111,111,210,210,397
1,111,109,175,129,398
1,109,111,206,210,399
1,109,112,216,208,400
1,118,98,193,168,401
1,111,132,223,168,403
1,113,113,203,198,404
1,43,127,87,63,405
1,96,120,178,97,412
1,103,140,158,124,413
1,109,126,171,116,415
1,104,107,67,72,417
1,121,102,183,143,418
1,101,134,169,111,419
1,101,121,141,127,421
1,132,132,133,103,424
1,102,111,181,165,425
1,107,134,197,97,428
1,150,148,86,112,431
1,111,125,204,145,434
1,109,124,125,111,436
1,102,112,187,170,437
1,119,102,201,185,439
1,107,119,160,153,441
1,109,127,174,139,442
1,87,137,165,141,443
1,77,121,155,194,444
1,112,112,211,201,446
1,109,111,158,136,448
1,123,111,200,135,449
1,102,122,156,177,451
1,112,134,186,132,452
1,111,118,162,119,453
1,111,127,176,119,454
1,76,109,120,203,455
1,102,120,163,93,456
1,172,149,102,148,459
1,211,195,23,36,460
1,109,101,125,109,462
1,80,97,140,117,465
1,136,103,133,101,466
1,112,108,210,201,467
1,103,114,172,168,468
1,111,121,189,129,469
1,115,112,191,170,470
1,109,137,167,97,473
1,120,104,162,107,474
1,75,100,143,160,475
1,109,119,174,157,476
1,112,131,172,113,477
1,110,133,186,144,481
1,112,112,151,162,484
1,121,110,168,151,487
1,113,128,168,117,488
1,119,119,161,189,489
1,102,133,204,179,490
1,119,110,126,54,491
1,111,131,166,82,492
1,112,128,166,82,493
1,110,121,181,199,496
1,109,96,187,90,497
1,123,108,156,123,498
1,107,114,205,188,499
1,104,124,167,126,500
1,113,137,168,167,501
1,109,108,213,191,502
1,107,114,196,107,503
1,159,109,122,72,504
1,111,124,195,116,505
1,108,121,174,166,510
1,110,115,179,120,512
1,114,120,197,199,513
1,112,112,200,159,515
1,111,127,185,114,516
1,112,121,162,136,517
1,115,114,174,172,518
1,109,124,144,84,520
1,110,111,201,201,521
1,109,114,206,137,523
1,111,119,192,169,524
1,115,138,192,160,525
1,106,121,183,98,526
1,111,112,202,210,531
1,112,109,200,120,533
1,107,110,174,221,536
1,110,125,148,126,537
1,113,102,209,190,539
1,112,133,204,155,540
1,120,102,148,167,541
1,115,114,203,175,542
1,80,148,159,129,545
1,107,135,201,136,546
1,161,121,100,117,547
1,126,116,168,122,549
1,110,120,208,160,550
1,109,121,203,173,551
1,123,116,136,71,553
1,103,123,183,129,556
1,112,113,212,182,558
1,113,124,209,145,559
1,115,120,152,114,560
1,110,127,172,107,562
1,107,119,193,187,563
1,115,103,172,175,566
1,128,116,127,93,567
1,108,120,201,131,568
1,103,132,181,104,569
1,89,112,127,158,570
1,114,111,138,122,572
1,149,40,96,80,573
1,135,111,167,125,574
1,119,124,184,89,576
1,110,110,217,221,577
1,126,111,161,142,578
1,112,112,222,131,579
1,111,110,203,167,580
1,111,107,221,163,583
1,111,143,211,138,584
1,124,123,146,174,586
1,100,120,138,118,587
1,110,125,196,173,588
1,63,112,127,120,589
1,112,113,197,160,591
1,113,86,127,55,592
1,95,113,167,148,593
1,118,113,117,85,594
1,102,126,170,100,595
1,128,108,111,93,597
1,113,100,205,158,600
1,100,109,189,183,601
1,120,131,201,183,603
1,99,100,132,124,604
1,113,113,204,163,606
1,114,100,202,149,607
1,92,136,147,65,608
1,112,113,164,208,609
1,113,111,199,186,612
1,112,113,195,142,614
1,114,110,215,208,615
1,108,114,165,213,616
1,111,123,208,178,619
1,108,123,178,106,622
1,120,114,144,69,623
1,147,127,140,103,624
1,114,99,84,65,625
1,109,124,210,182,626
1,110,119,215,195,627
1,113,135,160,101,628
1,114,110,88,82,631
1,109,85,154,171,633
1,135,133,156,147,634
1,113,110,152,144,635
1,97,120,185,165,638
1,108,99,204,195,639
1,110,120,190,159,640
1,95,105,64,66,641
1,113,123,210,193,644
1,110,122,179,121,645
1,142,166,155,87,646
1,110,112,210,202,648
1,99,115,162,128,652
1,64,156,89,56,653
1,157,152,132,62,654
1,104,115,192,174,655
1,109,122,215,192,656
1,90,126,147,71,657
1,100,119,169,67,658
1,110,112,217,207,659
1,162,113,112,91,660
1,109,177,108,56,661
1,109,110,218,204,662
1,103,113,154,123,663
1,107,114,196,107,664
1,109,114,213,153,665
1,111,127,156,136,666
1,137,127,141,156,667
1,119,135,174,105,669
1,102,130,183,145,671
1,114,115,153,129,673
1,110,122,207,149,675
1,113,112,183,159,676
1,115,111,210,157,680
1,114,124,166,120,681
1,157,152,100,128,682
1,168,169,66,46,683
1,97,95,92,97,684
1,112,112,213,128,687
1,108,113,203,111,688
1,104,111,176,170,689
1,110,124,177,141,690
1,112,112,169,217,691
1,119,111,173,167,692
1,110,113,206,151,696
1,108,102,171,173,697
1,115,104,173,118,698
1,107,107,189,143,699
1,147,149,152,143,701
1,119,124,199,192,702
1,53,115,106,95,703
1,109,98,139,166,704
1,116,120,168,196,706
1,104,112,198,218,708
1,109,114,206,137,709
1,104,113,204,156,710
1,100,107,159,139,711
1,101,120,170,187,712
1,104,119,175,169,713
1,102,126,179,146,714
1,107,123,211,187,716
1,114,121,215,131,717
1,80,111,158,156,718
1,114,125,109,122,720
1,110,123,154,148,722
1,112,119,211,147,723
1,100,146,166,123,724
1,119,123,186,172,725
1,148,110,149,220,726
1,107,115,169,151,728
1,110,131,221,123,730
1,148,118,77,56,731
1,110,111,211,195,732
1,57,117,107,87,734
1,108,100,186,146,735
1,89,115,147,177,736
1,90,112,163,175,737
1,119,107,204,145,738
1,109,112,190,166,739
1,88,126,146,109,740
1,115,120,197,194,741
1,115,123,142,144,743
1,114,110,217,170,744
1,96,111,95,78,745
1,116,115,115,106,747
1,109,120,177,131,748
1,102,123,171,145,749
1,97,121,166,131,750
1,97,111,168,151,751
1,109,110,207,187,752
1,115,114,153,155,753
1,111,110,207,165,754
1,97,102,175,183,755
1,115,122,182,122,757
1,119,120,188,101,758
1,101,114,176,184,760
1,109,119,161,87,761
1,115,148,194,95,762
1,108,100,187,90,763
1,97,122,193,160,764
1,109,111,212,205,766
1,108,114,144,107,768
1,101,112,195,190,769
1,112,104,191,94,770
1,102,116,187,180,771
1,100,109,104,97,772
1,149,131,148,124,773
1,94,122,155,148,774
1,109,124,179,194,775
1,82,111,137,110,776
1,104,124,131,123,777
1,121,113,165,146,778
1,112,111,216,209,779
1,112,123,187,186,780
1,108,113,164,133,781
1,108,101,209,159,783
1,112,128,193,160,784
1,113,109,215,219,789
1,115,102,172,132,791
1,119,122,198,195,793
1,109,126,206,166,794
1,64,166,87,79,795
1,98,90,162,113,796
1,98,109,158,116,797
1,122,111,168,164,799
1,116,112,130,130,801
1,110,126,209,147,802
1,100,102,134,157,803
1,111,111,211,223,804
1,112,113,203,137,805
1,102,103,156,123,806
1,132,111,180,223,811
1,118,111,183,219,812
1,111,112,170,125,813
1,144,116,89,81,814
1,103,107,79,67,815
1,146,115,58,51,816
1,113,115,92,85,818
1,114,123,160,145,820
1,108,109,160,215,822
1,127,123,174,176,823
1,102,111,156,127,824
1,98,97,109,113,825
1,108,109,206,208,826
1,104,121,190,161,827
1,112,136,210,117,828
1,55,120,111,114,830
1,116,121,143,125,832
1,110,114,219,211,833
1,108,125,160,129,835
1,110,145,220,154,837
1,110,110,172,169,839
1,109,104,198,209,842
1,112,115,193,203,843
1,103,111,205,163,844
1,125,114,164,192,846
1,126,99,125,131,847
1,92,135,168,161,848
1,110,87,169,103,850
1,113,111,184,189,851
1,118,113,142,99,852
1,121,75,184,109,853
1,109,112,194,165,854
1,115,135,214,172,856
1,104,113,204,156,858
1,114,102,193,182,860
1,108,113,197,190,863
1,109,122,202,183,864
1,98,107,151,125,866
1,109,114,187,159,868
1,126,127,140,151,870
1,112,114,204,206,871
1,109,114,206,137,872
1,113,113,162,166,875
1,111,111,169,129,876
1,111,112,223,214,877
1,100,120,177,153,878
1,110,120,208,160,880
1,116,111,214,152,882
1,108,126,204,174,883
1,109,121,187,156,884
1,108,124,193,194,885
1,111,110,111,95,887
1,131,109,166,189,890
1,76,122,152,125,891
1,108,114,127,107,893
1,108,112,195,163,894
1,108,111,197,186,895
1,100,112,181,129,896
1,112,112,177,196,897
1,99,99,156,145,898
1,52,116,89,61,899
1,112,113,168,164,901
1,151,78,128,121,902
1,108,112,217,174,904
1,111,115,176,117,905
1,112,108,171,113,907
1,100,113,162,154,908
1,110,125,181,102,909
1,112,113,202,166,911
1,32,87,65,148,912
1,111,109,175,129,913
1,123,99,167,153,914
1,63,114,67,90,917
1,109,107,173,193,918
1,26,87,38,55,919
1,110,111,205,199,920
1,102,102,189,178,921
1,107,124,176,188,922
1,118,165,181,82,924
1,115,107,176,154,928
1,114,115,169,141,933
1,112,109,187,142,934
1,111,96,169,135,935
1,122,122,170,171,936
1,121,113,165,146,938
1,107,103,165,130,939
1,111,111,223,223,940
1,102,139,176,92,941
1,111,127,170,113,942
1,114,109,189,133,943
1,113,112,194,170,945
1,109,114,183,143,946
1,119,107,152,145,947
1,100,131,164,101,950
1,107,101,149,116,951
1,103,110,177,195,953
1,138,139,149,93,954
1,120,123,180,176,955
1,112,121,174,167,956
1,107,108,190,181,957
1,95,121,173,127,958
1,128,116,105,78,959
1,111,110,209,209,960
1,113,124,209,145,962
1,122,110,144,163,966
1,115,121,215,200,967
1,164,108,114,118,968
1,113,120,146,111,969
1,108,110,205,159,970
1,114,125,190,144,971
1,160,123,114,71,972
1,111,114,220,191,974
1,64,112,73,68,975
1,140,119,105,112,977
1,98,102,186,171,978
1,110,112,158,144,980
1,123,110,167,191,982
1,123,111,155,223,983
1,119,98,175,158,984
1,73,113,146,201,985
1,127,124,176,156,987
1,112,123,178,140,988
1,108,126,191,127,989
0,111,113,180,168,991
0,112,116,172,190,992
0,110,111,208,171,993
0,100,157,149,127,994
0,110,111,180,189,995
0,110,122,205,178,996
0,112,142,214,161,997
0,112,112,216,218,999
0,100,113,178,156,1002
0,159,150,109,73,1003
0,110,110,208,205,1005
0,112,114,193,171,1006
0,113,112,210,195,1007
0,111,102,186,147,1008
0,75,115,126,192,1009
0,115,135,174,123,1010
0,107,125,156,108,1011
0,110,112,207,170,1012
0,112,109,209,207,1013
0,111,102,207,203,1015
0,109,110,144,176,1016
0,109,126,207,164,1018
0,111,119,169,140,1019
0,112,110,208,194,1020
0,102,149,191,140,1021
0,112,112,209,188,1022
0,111,114,172,193,1023
0,112,122,212,170,1024
0,112,107,215,145,1026
0,113,110,211,216,1028
0,123,113,177,180,1030
0,115,101,200,162,1031
0,112,131,190,149,1032
0,104,113,111,156,1035
0,134,111,178,223,1036
0,114,114,183,165,1038
0,110,110,209,200,1039
0,109,110,218,211,1040
0,112,124,211,188,1041
0,114,113,216,193,1042
0,112,145,198,98,1043
0,115,115,159,102,1044
0,111,114,166,182,1045
0,112,142,207,95,1046
0,112,120,197,185,1048
0,112,146,205,106,1049
0,24,37,44,56,1051
0,109,110,206,192,1052
0,110,134,208,107,1056
0,110,112,201,200,1057
0,111,110,223,213,1058
0,113,110,216,184,1059
0,112,134,213,159,1060
0,102,124,170,133,1062
0,113,119,197,142,1063
0,131,132,170,144,1065
0,112,119,203,187,1066
0,114,112,210,206,1067
0,112,114,173,152,1069
0,112,132,183,125,1070
0,88,136,121,88,1071
0,114,111,199,140,1072
0,113,121,210,178,1073
0,115,124,203,125,1074
0,112,124,207,187,1075
0,113,110,213,200,1076
0,113,113,189,185,1077
0,111,111,212,171,1079
0,120,143,170,131,1081
0,121,121,189,177,1082
0,115,123,208,191,1083
0,112,113,209,203,1086
0,91,132,82,72,1088
0,107,114,183,181,1090
0,112,139,188,143,1091
0,111,112,202,209,1092
0,113,99,185,179,1093
0,98,112,161,169,1095
0,112,124,200,178,1096
0,114,113,200,172,1097
0,119,115,196,184,1098
0,114,124,176,106,1099
0,111,115,204,192,1101
0,112,114,208,189,1104
0,112,122,170,141,1106
0,111,121,210,204,1107
0,121,122,123,102,1108
0,113,110,202,197,1109
0,113,112,198,168,1111
0,192,28,49,39,1113
0,113,158,164,110,1114
0,112,131,175,119,1115
0,113,112,198,168,1116
0,116,112,202,155,1117
0,103,119,148,129,1118
0,109,110,190,182,1119
0,109,109,210,164,1120
0,111,102,152,69,1122
0,103,122,170,118,1123
0,110,109,219,203,1124
0,110,133,181,139,1126
0,100,110,155,168,1129
0,114,143,192,144,1130
0,109,107,211,197,1133
0,110,167,123,56,1134
0,111,102,204,205,1135
0,112,112,221,188,1136
0,112,114,211,197,1139
0,120,133,179,125,1140
0,112,123,190,183,1141
0,112,114,208,187,1142
0,134,121,169,117,1144
0,123,144,179,106,1145
0,112,112,204,187,1147
0,108,120,215,143,1148
0,109,113,211,196,1149
0,109,101,176,201,1150
0,119,127,134,89,1152
0,109,121,203,97,1153
0,112,111,215,199,1154
0,113,124,202,163,1155
0,112,112,208,185,1156
0,110,123,217,160,1157
0,109,110,197,204,1158
0,110,140,184,108,1159
0,110,114,221,195,1160
0,113,120,192,165,1161
0,113,112,160,157,1162
0,119,119,203,124,1164
0,115,72,205,119,1165
0,110,121,201,198,1166
0,134,112,178,178,1167
0,107,112,209,174,1168
0,110,112,198,135,1169
0,111,127,181,165,1171
0,114,113,206,132,1173
0,130,133,157,113,1174
0,112,102,208,197,1175
0,110,134,197,146,1176
0,110,127,210,168,1180
0,111,114,194,181,1181
0,113,113,206,184,1182
0,108,124,173,180,1183
0,102,128,134,114,1184
0,115,110,210,207,1185
0,110,124,207,163,1186
0,109,121,210,124,1188
0,109,111,209,94,1189
0,53,15,32,31,1190
0,116,112,202,155,1191
0,111,115,168,137,1193
0,113,130,182,112,1194
0,110,110,197,211,1197
0,102,123,142,81,1200
0,112,110,216,216,1201
0,104,110,208,221,1202
0,112,126,143,152,1203
0,123,101,193,159,1205
0,111,109,216,208,1206
0,112,116,111,71,1209
0,68,143,99,103,1210
0,103,75,167,99,1212
0,112,121,164,131,1213
0,101,120,162,187,1214
0,115,123,208,164,1215
0,113,108,215,136,1217
0,111,112,209,206,1219
0,114,120,216,165,1221
0,112,113,213,198,1224
0,111,114,207,193,1225
0,102,125,200,194,1226
0,111,115,212,181,1227
0,114,110,214,187,1228
0,110,112,212,215,1230
0,113,109,191,124,1231
0,110,116,148,113,1233
0,113,110,173,140,1234
0,111,113,217,199,1235
0,113,101,209,153,1236
0,97,123,167,145,1238
0,114,135,217,152,1239
0,110,113,214,176,1240
0,113,122,193,132,1241
0,111,121,186,163,1242
0,111,113,208,186,1245
0,109,118,219,210,1246
0,114,104,154,121,1248
0,106,131,161,126,1250
0,109,121,179,76,1251
0,113,121,177,141,1252
0,108,109,158,118,1253
0,111,120,217,132,1254
0,116,135,188,152,1256
0,110,111,207,191,1257
0,111,124,206,144,1258
0,112,145,208,140,1259
0,109,113,213,169,1260
0,120,131,178,120,1262
0,111,110,203,157,1265
0,111,114,198,195,1267
0,119,127,139,117,1272
0,111,111,206,165,1274
0,111,120,210,176,1275
0,111,113,212,206,1276
0,111,109,200,157,1277
0,114,121,204,177,1280
0,42,100,85,97,1282
0,112,112,208,185,1283
0,110,122,182,184,1285
0,110,126,185,160,1286
0,99,121,186,152,1289
0,119,115,181,118,1290
0,109,112,199,197,1291
0,119,112,197,201,1294
0,108,123,194,165,1295
0,112,109,212,172,1296
0,85,114,132,95,1297
0,30,38,60,76,1298
0,112,112,214,196,1299
0,110,115,202,174,1300
0,109,114,206,137,1302
0,114,137,203,125,1304
0,110,122,221,153,1305
0,112,116,172,190,1306
0,110,136,193,105,1307
0,112,115,211,184,1308
0,110,113,201,202,1309
0,111,148,174,99,1312
0,114,120,217,142,1314
0,120,119,170,135,1317
0,75,112,145,146,1319
0,123,124,189,155,1322
0,113,126,197,160,1323
0,110,112,192,187,1324
0,136,152,152,102,1325
0,111,112,197,173,1326
0,109,120,204,166,1327
0,109,121,209,169,1328
0,110,113,216,189,1329
0,111,112,211,205,1331
0,113,110,191,218,1332
0,111,123,188,198,1335
0,113,119,207,178,1336
0,112,112,203,206,1337
0,108,113,201,195,1339
0,107,146,117,107,1342
0,113,113,214,183,1343
0,88,137,160,99,1345
0,111,103,210,184,1346
0,61,171,101,88,1347
0,111,103,223,203,1348
0,108,114,211,201,1350
0,113,103,196,166,1353
0,115,122,207,179,1354
0,110,125,212,185,1355
0,109,114,206,137,1356
0,112,104,221,208,1358
0,112,114,209,198,1361
0,110,112,197,200,1363
0,113,122,198,162,1365
0,112,143,213,142,1367
0,112,125,187,177,1368
0,109,112,195,155,1369
0,106,113,113,149,1370
0,107,134,190,126,1371
0,112,111,198,204,1372
0,111,113,182,176,1373
0,111,110,223,209,1374
0,112,113,192,162,1375
0,108,102,209,195,1376
0,114,138,205,119,1378
0,112,115,207,190,1383
0,110,126,216,142,1384
0,111,135,214,122,1386
0,110,125,201,96,1387
0,108,111,190,222,1388
0,115,109,198,161,1389
0,113,113,215,202,1390
0,114,133,196,151,1392
0,110,111,189,222,1394
0,110,112,220,200,1396
0,111,115,210,186,1397
0,110,112,207,189,1399
0,111,110,210,177,1400
0,121,112,170,153,1401
0,111,112,160,118,1402
0,112,124,180,154,1404
0,104,126,193,164,1408
0,114,123,202,143,1409
0,111,112,205,174,1410
0,113,113,219,192,1412
0,111,119,209,206,1413
0,110,113,208,178,1415
0,112,129,219,187,1416
0,109,110,211,208,1417
0,110,125,186,97,1419
0,111,102,200,138,1420
0,112,109,204,201,1421
0,114,123,202,161,1422
0,113,122,199,159,1424
0,112,114,170,191,1425
0,109,113,215,187,1426
0,79,149,125,76,1427
0,120,121,175,102,1428
0,109,102,217,168,1429
0,111,112,213,212,1431
0,102,123,161,106,1432
0,102,100,164,110,1433
0,112,126,187,160,1434
0,121,131,184,176,1435
0,112,141,189,109,1437
0,113,136,207,112,1438
0,108,103,195,188,1439
0,108,123,185,196,1440
0,111,111,223,223,1442
0,112,103,209,188,1443
0,110,127,205,148,1445
0,114,110,209,203,1446
0,109,113,211,196,1447
0,110,102,208,179,1448
0,111,114,209,162,1449
0,111,114,207,187,1450
0,127,131,185,178,1451
0,113,114,200,178,1453
0,111,110,216,211,1458
0,120,125,142,68,1460
0,111,99,202,155,1462
0,109,111,193,195,1464
0,109,121,194,146,1467
0,113,103,202,206,1468
0,109,112,208,200,1469
0,112,121,213,183,1470
0,114,114,178,135,1471
0,111,120,212,189,1473
0,109,109,197,181,1474
0,147,162,139,49,1476
0,111,112,193,165,1477
0,112,113,213,171,1478
0,114,111,187,192,1479
0,112,122,210,177,1480
0,111,110,189,133,1482
0,112,113,202,172,1483
0,111,112,211,192,1484
0,111,112,190,165,1485
0,113,130,182,112,1486
0,111,121,217,144,1489
0,108,113,204,217,1490
0,112,114,215,179,1492
0,109,121,210,124,1493
0,110,111,214,201,1494
0,110,123,208,186,1495
0,110,112,211,198,1496
0,107,113,207,186,1497
0,107,139,191,109,1498
0,109,113,203,177,1500
0,111,109,184,207,1503
0,111,112,223,210,1504
0,113,114,211,191,1505
0,107,125,211,150,1506
0,109,111,209,223,1507
0,111,111,223,223,1508
0,112,109,168,78,1509
0,110,114,209,208,1510
0,110,113,219,202,1512
0,112,101,199,161,1514
0,112,122,207,170,1515
0,104,112,153,87,1516
0,110,111,205,203,1517
0,189,147,67,68,1518
0,111,114,180,169,1519
0,110,112,199,157,1520
0,111,113,217,208,1522
0,112,146,205,106,1524
0,98,111,171,176,1526
0,110,115,199,190,1527
0,122,102,168,173,1528
0,110,113,213,105,1529
0,111,111,187,152,1533
0,111,111,203,171,1534
0,98,119,137,80,1536
0,109,109,207,171,1539
0,113,109,212,192,1540
0,109,114,179,122,1541
0,126,138,140,63,1542
0,97,108,66,85,1543
0,108,121,175,141,1544
0,105,109,170,162,1545
0,109,134,190,157,1546
0,109,113,171,101,1548
0,98,121,163,137,1549
0,125,146,151,95,1550
0,124,112,182,209,1551
0,108,110,213,201,1554
0,113,111,197,192,1555
0,113,111,172,155,1556
0,110,114,195,177,1559
0,112,113,212,196,1560
0,113,113,215,200,1561
0,111,103,169,175,1562
0,111,120,187,107,1563
0,112,115,198,180,1564
0,111,110,208,197,1565
0,112,110,209,204,1566
0,114,124,141,138,1567
0,110,109,201,199,1568
0,119,114,196,194,1569
0,113,111,203,173,1570
0,110,113,208,185,1571
0,108,121,207,144,1572
0,102,114,172,158,1573
0,111,113,204,175,1574
0,113,120,199,152,1575
0,110,98,215,152,1576
0,110,125,176,152,1578
0,109,111,216,185,1579
0,104,111,119,128,1580
0,111,123,207,168,1581
0,111,110,223,209,1582
0,109,109,210,209,1585
0,111,117,219,212,1586
0,111,111,214,192,1587
0,112,112,217,140,1588
0,113,113,203,169,1589
0,103,111,180,166,1590
0,109,113,206,195,1592
0,120,125,142,68,1593
0,112,113,195,155,1595
0,111,113,209,204,1596
0,110,127,155,110,1597
0,131,126,179,130,1599
0,112,103,221,174,1600
0,111,114,172,193,1601
0,108,107,212,206,1603
0,111,139,207,116,1610
0,115,144,212,143,1612
0,111,110,207,188,1613
0,113,113,198,187,1614
0,110,111,209,200,1615
0,110,125,214,131,1616
0,111,120,214,181,1617
0,179,148,85,39,1618
0,111,149,179,118,1619
0,110,108,179,169,1620
0,111,126,192,152,1622
0,112,110,190,112,1623
0,113,112,204,188,1624
0,111,115,211,180,1625
0,107,120,187,205,1626
0,125,105,189,210,1627
0,114,110,190,201,1628
0,85,150,158,65,1629
0,123,127,162,161,1630
0,137,144,118,100,1631
0,109,115,155,189,1632
